	summarized	lineages	abundances	resid	coverage
ERR5014640.fastq	[('Other', 0.9999999999906644)]	B.1.1.161 B.12 B.23 B.27 B.1.14 B	0.99367100 0.00126580 0.00126580 0.00126580 0.00126580 0.00126580	0.00040232201724447754	60.13723849372385
ERR5019820.fastq	[('Other', 0.9999999999994249)]	B.1.1.161 B.1.1.301 B.1.1.514	0.85141000 0.07429500 0.07429500	0.21407954215232913	60.13723849372385
ERR5014661.fastq	[('Other', 0.9999999999977452)]	B.1.1.161 B.12 B.23 B.27 B.1.14 B	0.99179500 0.00164100 0.00164100 0.00164100 0.00164100 0.00164100	0.44166848898631894	60.13723849372385
ERR5019801.fastq	[('Other', 0.9999999999905608)]	B.1.1.161 B.12 B.23 B.27 B.1.14 B	0.98753500 0.00249300 0.00249300 0.00249300 0.00249300 0.00249300	0.5110218044099952	60.13723849372385
ERR5019796.fastq	[('Other', 0.9999999999623518)]	B.1.1.161 B.12 B.23 B.27 B.1.14 B	0.98104300 0.00379140 0.00379140 0.00379140 0.00379140 0.00379140	0.18538994401918366	60.13723849372385
ERR5014701.fastq	[('Other', 0.9999999999899418)]	B.1.1.161	1.00000000	0.09359608637884774	60.13723849372385
ERR5019767.fastq	[('Other', 0.9999999999980691)]	B.1.1.161 B.12 B.23 B.27 B.1.14 B	0.98531600 0.00293680 0.00293680 0.00293680 0.00293680 0.00293680	0.0012751850267422678	60.13723849372385
ERR5014690.fastq	[('Other', 0.9999999999995581)]	B.12 B.23 B.27 B.1.14 B	0.20000000 0.20000000 0.20000000 0.20000000 0.20000000	1.734538461638402e-12	60.13723849372385
ERR5019843.fastq	[('Other', 0.9999999999989577)]	B.12 B.23 B.27 B.1.14 B	0.20000000 0.20000000 0.20000000 0.20000000 0.20000000	0.18558968770966838	60.13723849372385
ERR5014677.fastq	[('Other', 0.9999999999995581)]	B.12 B.23 B.27 B.1.14 B	0.20000000 0.20000000 0.20000000 0.20000000 0.20000000	1.734538461638402e-12	60.13723849372385
ERR5019817.fastq	[('Other', 0.9999999999995581)]	B.12 B.23 B.27 B.1.14 B	0.20000000 0.20000000 0.20000000 0.20000000 0.20000000	1.734538461638402e-12	60.13723849372385
ERR5019780.fastq	[('Other', 0.9999999999526289)]	B.1.1.161 C.36 C.14 C.25 C.27 C.35 B.1.1.1 B.1.1.372 B.12 B.23 B.27 B.1.14 B	0.87523100 0.01503757 0.01503757 0.01503757 0.01503757 0.01503757 0.01503757 0.01503757 0.00390120 0.00390120 0.00390120 0.00390120 0.00390120	0.018357451231504958	60.13723849372385
ERR5014639.fastq	[('Other', 0.9999999999944297)]	B.1.1.161 B.12 B.23 B.27 B.1.14 B	0.99238100 0.00152380 0.00152380 0.00152380 0.00152380 0.00152380	0.18753251184148947	60.13723849372385
ERR5019836.fastq	[('Other', 0.9999999999949571)]	B.1.1.161 B.12 B.23 B.27 B.1.14 B	0.99093700 0.00181260 0.00181260 0.00181260 0.00181260 0.00181260	0.1872596358518126	60.13723849372385
ERR5014635.fastq	[('Other', 0.9963239999959255)]	B.1.1.161	0.99632400	0.18827762958672475	60.13723849372385
ERR5019771.fastq	[('Other', 0.9999999999612729)]	B.1.1.161 B.12 B.23 B.27 B.1.14 B	0.98142400 0.00371520 0.00371520 0.00371520 0.00371520 0.00371520	0.18546194246299771	60.13723849372385
