	summarized	lineages	abundances	resid	coverage
SRR18680447.fastq	[('Omicron', 0.950521999919104), ('Other', 0.04947799999625156)]	BA.1.1 BA.1.5 BA.1.1.16 BA.1.15 B.4 XM B.1.1.529 B.1.1.161	0.54235700 0.15881000 0.12518700 0.05903600 0.04505800 0.04318100 0.02195100 0.00442000	3.1754620102338027	97.07682531188334
SRR18680466.fastq	[('Omicron', 0.9407769999957357), ('Delta', 0.030307000012085288), ('Other', 0.028915999998758168)]	BA.1.9 BA.1.15 BA.1.1 BA.1.1.10 B.1.617.2 B.1.1.529 B	0.41711200 0.25720600 0.14536600 0.09102600 0.03030700 0.03006700 0.02891600	4.092708290886099	97.07682531188334
SRR18680470.fastq	[('Omicron', 0.9305219999933876), ('Delta', 0.034972000003194406), ('Other', 0.03450599999953898)]	BA.1.1.16 BA.1.1 BA.1.1.10 BD.1 BA.1.15 BA.1.17.2 BA.1.17 BA.1.9 B.1.1.529 B.4 B AY.105 AY.25.3 B.1.617.2	0.33763800 0.29689700 0.09553100 0.04982700 0.03582200 0.03152500 0.03152500 0.02890000 0.02285700 0.01904300 0.01546300 0.01529900 0.01409900 0.00557400	5.235484732633731	97.07682531188334
SRR18680451.fastq	[('Omicron', 0.8792779998463631), ('Other', 0.06526900000195628), ('Delta', 0.05545299999198596)]	BA.1.1.16 BA.1.1 BA.1.15 BA.1.9 BA.1.1.10 B.20 AY.112 BA.1.17 BA.1.17.2 B.1.617.2 AY.98 B.1.199 B.12 B.1.459 AY.113 B.1.1.529	0.31999000 0.20660400 0.11853600 0.11807900 0.08233600 0.03920400 0.02138200 0.01555150 0.01555150 0.01499300 0.01441600 0.01265800 0.00816100 0.00524600 0.00466200 0.00263000	3.950581072301265	97.07682531188334
SRR18680481.fastq	[('Omicron', 0.5122140000116663), ('Delta', 0.45682100000116627), ('Other', 0.030964999999245294)]	BA.1.9 AY.25.3 AY.4.2.1 AY.4 BA.1.1.18 BA.1.17 BA.1.17.2 BA.1.1.16 BA.1.1.7 B B.1.1.529	0.24011100 0.22227600 0.11932000 0.11522500 0.06937400 0.05406150 0.05406150 0.04146700 0.03232800 0.03096500 0.02081100	7.732888399985861	97.07682531188334
SRR18680446.fastq	[('Omicron', 0.9407189999740978), ('Other', 0.040356000013570634), ('BA.2* [Omicron (BA.2.X)]', 0.01892499999916993)]	BA.1.1 BA.1.1.16 BA.1.15 BA.1.1.7 XM BA.1.20 BA.1.18 B BA.2.56 BA.1.17.2 BA.1.17 B.11 miscBA2BA1PostSpike B.1.1.529 B.1.384	0.44773600 0.22854000 0.10525200 0.03846200 0.02987400 0.02810700 0.02677000 0.02232100 0.01892500 0.01596100 0.01596100 0.01000200 0.00483600 0.00405600 0.00319700	2.83046236314402	97.07682531188334
SRR18680467.fastq	[('Omicron', 0.8504659997776526), ('Other', 0.097548000044548), ('Delta', 0.05198599999201533)]	BA.1.1 BA.1.17 BA.1.17.2 BA.1.1.16 B.1.617.2 B.11 miscBA1BA2Post5386 B.1.384 BA.1.15 B.1.1.529 miscBA2BA1PostSpike	0.31733600 0.20195600 0.20195600 0.10718500 0.05198600 0.04361000 0.02887400 0.02302100 0.01837900 0.00365400 0.00204300	6.0086074584715705	97.07682531188334
SRR18680471.fastq	[('Omicron', 0.8968839999939057), ('Other', 0.08064000000114792), ('Delta', 0.022475999999857485)]	BA.1.1.10 BA.1.1.16 BA.1.1 BA.1.15 BA.1.9 BA.1.1.4 BA.1.17.2 BA.1.17 B B.11 miscDeltaBA1Post4k B.4 B.1.1.529 AY.122.4 B.1.545 B.1.302 AY.25.3 miscBA1BA2Pre10k AY.98 AY.122	0.27784000 0.17396600 0.15386200 0.07914500 0.07726000 0.04535900 0.03878450 0.03878450 0.01521100 0.01439900 0.01434800 0.01386800 0.01188300 0.01153700 0.00880500 0.00856000 0.00675500 0.00544900 0.00276100 0.00142300	4.943776107645053	97.07682531188334
SRR18680450.fastq	[('Omicron', 0.8975149999953177), ('Other', 0.058924999998205274), ('Delta', 0.04355999999882375)]	BA.1.1.16 BA.1.1 BA.1.15 BA.1.9 B.4 AY.23 BA.1.17 BA.1.17.2 B AY.90 B.1.35 AY.1 B.1.1.529	0.53572200 0.20889200 0.05396800 0.04468500 0.02820100 0.02596100 0.02576950 0.02576950 0.02072600 0.01236700 0.00999800 0.00523200 0.00270900	4.7984049120108185	97.07682531188334
SRR18680480.fastq	[('Delta', 0.5861910000084376), ('Omicron', 0.3730959999848764), ('Other', 0.03983400000004217)]	AY.25 BA.1.1 AY.25.3 B.1.617.2 BA.1.1.16 BA.1.17.2 BA.1.17 B.1.1.529 B.5	0.36989500 0.15872200 0.14044900 0.07584700 0.06873800 0.04888250 0.04888250 0.04787100 0.03983400	10.969347933158808	97.07682531188334
