Sample	summarized	lineages	abundances	resid	coverage	Date	test_clusters
SRR17578348.fastq	[('Delta', 0.9497649999983714), ('Other', 0.04689599999607772), ('A', 0.003338999999386318)]	AY.103 B.1.14 B AY.79 B.55 B.1.543 A B.1.195 B.47 B.1.198 B.1.420 B.1.439	0.93902000 0.01363700 0.01363700 0.01074500 0.00407100 0.00381700 0.00333900 0.00330300 0.00284000 0.00208600 0.00184200 0.00166300	4.52915180259588	92.561872909699	2020-01-01	ClusterA
SRR17578349.fastq	[('Delta', 0.9638399999970783), ('Other', 0.03466399999907914)]	AY.119 AY.112 B.1.14 B B.1.195 AY.113 B.1.420 B.1.198 AY.29	0.48034550 0.48034550 0.01426000 0.01426000 0.00295700 0.00182500 0.00179600 0.00139100 0.00132400	6.19008843109725	92.561872909699	2020-01-02	ClusterA
SRR17578350.fastq	[('Delta', 0.94236999999531), ('Other', 0.057287999998748396)]	AY.119 AY.112 B.1.14 B B.1.617.2 B.1.76 AY.29 B.1.198 AY.113	0.46329250 0.46329250 0.02575500 0.02575500 0.01186600 0.00401500 0.00255200 0.00176300 0.00136700	8.02246180983333	92.561872909699	2020-01-03	ClusterB
SRR17578351.fastq	[('Delta', 0.9283579999820745), ('Other', 0.07100399999105939)]	AY.119 AY.112 B.1.14 B B.19 AY.126 B.1.76 B.1.198 AY.113 B.1.420	0.46028650 0.46028650 0.02807950 0.02807950 0.00719700 0.00576000 0.00318600 0.00284200 0.00202500 0.00162000	7.8252715299971	92.561872909699	2020-01-04	ClusterC
SRR17578352.fastq	[('Delta', 0.9356119999781262), ('Other', 0.05678299995998809), ('A', 0.007604999998533643)]	AY.103 AY.117 AY.119 AY.112 B.1.617.2 AY.4 B.1.14 B B.1 A B.1.195 AY.79 B.1.198 AY.113 B.1.164 B.1.182 AY.29 B.23 AY.105	0.35099000 0.17592400 0.14214600 0.14214600 0.09270300 0.02299700 0.01727850 0.01727850 0.00962900 0.00760500 0.00458500 0.00382100 0.00275900 0.00230500 0.00230400 0.00163300 0.00144600 0.00131600 0.00113400	8.32951641548436	92.561872909699	2020-01-05	ClusterB
SRR17578353.fastq	[('Delta', 0.9548209999921116), ('Other', 0.04483799994591617)]	AY.44 AY.103 AY.119 AY.112 B.20 B.1 AY.29 AY.25 B.1.187 B.1.198 B.1.377 B.1.420 B.1.195 B.42 AY.113 B.1.439 B.1.164 AY.116 B.1.14 B	0.69554100 0.15669100 0.04644500 0.04644500 0.01770300 0.00822600 0.00355300 0.00286300 0.00283300 0.00254200 0.00235700 0.00210000 0.00202400 0.00189000 0.00185500 0.00159300 0.00154700 0.00142800 0.00101150 0.00101150	4.58029763807222	92.561872909699	2020-01-06	ClusterB
SRR17578354.fastq	[('Delta', 0.951638999991613), ('Other', 0.047758999999458734)]	AY.103 AY.44 AY.33 AY.119.2 AY.25 AY.117 B.1.14 B B.1.134 B.1.103 AY.43 B.1.198 B.1.420 B.1.195 AY.29 AY.113	0.32759800 0.27576100 0.14204500 0.09259500 0.07624300 0.03129700 0.01420450 0.01420450 0.00815400 0.00470100 0.00303200 0.00269500 0.00191700 0.00188300 0.00174100 0.00132700	4.89118819333546	92.561872909699	2020-01-07	ClusterA
SRR17578355.fastq	[('Delta', 0.9526069999971609), ('Other', 0.047047999997439624)]	AY.44 AY.119 AY.112 AY.117 B.1.617.2 B.1.14 B B.1 B.1.8 B.1.420 B.1.198 AY.116 B.1.164 AY.113 AY.106 AY.29	0.43715500 0.18409950 0.18409950 0.08923900 0.05232000 0.01416150 0.01416150 0.00986900 0.00327600 0.00224200 0.00188200 0.00172500 0.00145600 0.00143600 0.00133100 0.00120200	6.66586393592061	92.561872909699	2020-01-08	ClusterC
SRR17786781.fastq	[('Omicron', 0.9220239999977365), ('Other', 0.0779759999975946)]	BA.1.1.2 BA.1 BA.1.15 BA.1.1.18 B.1 B.1.395 BA.1.14.2 B.1.1.161 B.4 B.1.14 B B.26 XF miscDeltaBA1Post4k	0.58702700 0.18967800 0.07418600 0.06010900 0.01385200 0.01329800 0.01102400 0.01052000 0.00983000 0.00976800 0.00976800 0.00472500 0.00465100 0.00156400	8.36373516181728	92.561872909699	2020-01-09	ClusterC
SRR17786782.fastq	[('Omicron', 0.9175969999970877), ('Other', 0.07571999999502804), ('Delta', 0.00646599999929769)]	BA.1.1.2 BA.1 BA.1.1.18 BA.1.15 B.1 B.1.14 B AY.1 BA.1.15.3 XS B.1.439 B.23 B.1.1.322 B.1.195 B.1.164	0.51305300 0.23138300 0.10344800 0.06971300 0.02617100 0.01069650 0.01069650 0.00646600 0.00596300 0.00501100 0.00436500 0.00410500 0.00360600 0.00323200 0.00187400	9.16178751589412	92.561872909699	2020-01-10	ClusterC
SRR17786783.fastq	[('Omicron', 0.92186399999576), ('Other', 0.07164899999734872), ('Delta', 0.006486999999924809)]	BA.1.1.2 BA.1 BA.1.15 BA.1.1.18 B B.1.14 BA.1.9 XF B.1.617.2 B.1.251 B.1.222 B.1.143 B.1.1.161 BA.1.15.3 B.1.439 B.1.195 B.1	0.49024800 0.26729200 0.11470300 0.03311300 0.01775250 0.01775250 0.01650800 0.00653100 0.00648700 0.00631100 0.00396900 0.00382600 0.00367100 0.00364400 0.00300300 0.00299600 0.00219300	8.81163758245891	92.561872909699	2020-01-11	ClusterC
SRR17786784.fastq	[('Other', 0.9999999999569206)]	B.1.1.367 B.1.1 B.1 B.46 B.1.1.161 B.1.1.83 B.1.1.119 B.1.439 B.1.195 B.1.198 B.1.164	0.36140200 0.36140200 0.19767300 0.03738300 0.02312500 0.00755100 0.00293000 0.00267900 0.00243400 0.00196600 0.00145500	10.6918147466998	92.561872909699	2020-01-12	ClusterA
SRR17786785.fastq	[('Omicron', 0.5130119999966882), ('Delta', 0.26947099999989027), ('Other', 0.21751699999001486)]	AY.1 BA.1.1.18 BA.1 BA.1.5 miscDeltaBA1Post11k AY.98 BA.1.15 B.1.1.367 B.1.1 miscDeltaBA1Post4k B.1.1.161 P.7 B.1.14 B XF B.4 AY.113 BA.1.16.2 B.1.195 B.1.1.160	0.22642500 0.20382200 0.16193500 0.10637400 0.04569900 0.03891100 0.03745900 0.03071600 0.03071600 0.02773600 0.02491200 0.01546400 0.01154150 0.01154150 0.00870300 0.00719500 0.00413500 0.00342200 0.00182200 0.00147100	10.3407169304132	92.561872909699	2020-01-13	ClusterC
SRR17786786.fastq	[('Omicron', 0.7831070000015786), ('Other', 0.21689299990808691)]	BA.1.9 BA.1.1.18 BA.1 B.1.1.367 B.1.1 B.1.1.161 B.4 XF miscDeltaBA1Post4k B.1 B.1.195 B.1.164 B.1.439 B.1.1.423 B.1.1.119	0.42684300 0.25490200 0.10136200 0.04409850 0.04409850 0.03086700 0.03079600 0.02424900 0.01541700 0.01390700 0.00547600 0.00232700 0.00216700 0.00210600 0.00138400	10.8276491155408	92.561872909699	2020-01-14	ClusterC
SRR17786787.fastq	[('Omicron', 0.9385269999357042), ('Other', 0.061472999965531225)]	BA.1.1.2 BA.1.1.18 BA.1 BA.1.15 BA.1.14.2 B.1.14 B XF B.1.1.161 B.1 B.1.1.148 B.1.195 B.1.439	0.51182000 0.19685000 0.15464400 0.05396000 0.02125300 0.01734900 0.01734900 0.00667800 0.00547700 0.00496800 0.00408000 0.00359700 0.00197500	9.09349985121155	92.561872909699	2020-01-15	ClusterB
SRR17786788.fastq	[('Omicron', 0.8298469999939198), ('Other', 0.17015299999577513)]	BA.1.1.2 BA.1.1.18 miscDeltaBA1Post11k BA.1 BA.1.15.3 B.1.1.161 B.1.14 B B.1.195 B.1.76 B.1.439 B.1.1.229 B.1 B.1.1.33	0.63763300 0.16666700 0.07574300 0.02554700 0.02364100 0.01976100 0.01489800 0.01489800 0.00578100 0.00383400 0.00330400 0.00324800 0.00281600 0.00222900	9.90139678119257	92.561872909699	2020-01-16	ClusterC
SRR17786789.fastq	[('Omicron', 0.8618929999753268), ('Other', 0.1245929999867192), ('Delta', 0.013514000002291308)]	BA.1.1.2 BA.1 BA.1.15 BA.1.1.18 BA.1.15.3 BA.1.20 B.1.14 B miscDeltaBA1Post4k AY.44 B.1.1.119 miscDeltaBA1Post11k B.4 B.1.1.161 B.1.195 B.1.105 B.1.439 AY.113 B.1.1.322	0.48623700 0.20959200 0.07883900 0.07170500 0.03129300 0.01552000 0.01370150 0.01370150 0.01355200 0.00980700 0.00866000 0.00824100 0.00784500 0.00726500 0.00637500 0.00569100 0.00473800 0.00370700 0.00353000	9.14286313327135	92.561872909699	2020-01-17	ClusterC
SRR17786790.fastq	[('Omicron', 0.863759999995011), ('Other', 0.12411899999629665), ('Delta', 0.012120999999957223)]	BA.1.1.2 BA.1 BA.1.9 BA.1.1.18 BA.1.15 B.1.14 B BA.1.15.3 BA.1.20 B.20 B.1.391 AY.113 AY.1 B.4 B.1.105 B.1.195	0.50029900 0.18962900 0.06447700 0.05400000 0.03826900 0.03034800 0.03034800 0.02617200 0.01708600 0.01366700 0.01247500 0.00632800 0.00579300 0.00566200 0.00379700 0.00165000	8.87028426609865	92.561872909699	2020-01-18	ClusterC
SRR17786791.fastq	[('Omicron', 0.9107529999990035), ('Other', 0.08889299999526894)]	BA.1.1.2 BA.1 BA.1.9 BA.1.15 BA.1.1.18 B.20 B.1.1.161 BA.1.20 B.1.14 B B.1 miscDeltaBA1Post4k BA.1.15.3 XF B.1.164 B.1.439 B.1.195	0.48069100 0.16061200 0.12504100 0.07943800 0.05466200 0.01622700 0.01505600 0.01030900 0.00995900 0.00995900 0.00936000 0.00868500 0.00687900 0.00414400 0.00348200 0.00262000 0.00252200	8.84493256244032	92.561872909699	2020-01-19	ClusterB
SRR17786792.fastq	[('Omicron', 0.8859299999916481), ('Other', 0.11406999999670513)]	BA.1.1.2 BA.1.15 BA.1 B.1.473 B.1.14 B XF B.1.1.161 BA.1.16.2 B.1.195 B.1.198	0.74589200 0.09950200 0.03646800 0.03214000 0.02083350 0.02083350 0.01843100 0.01817400 0.00406800 0.00197000 0.00168800	10.6358177387789	92.561872909699	2020-01-20	ClusterC
SRR17786793.fastq	[('Omicron', 0.8921259999944114), ('Other', 0.10787399999460627)]	BA.1.1.2 BA.1.15 BA.1 BA.1.1.18 BA.1.18 BA.1.1.11 B.20 B.1 miscDeltaBA1Post11k B.1.1.161 BA.1.20 B.47 BA.1.15.3 miscDeltaBA1Post4k B.1.195 B.4 BA.1.6 B.1.164	0.40202100 0.16485300 0.11904400 0.11847400 0.04878000 0.03020100 0.02631600 0.02438600 0.02292300 0.00844300 0.00722000 0.00659100 0.00615400 0.00571500 0.00314100 0.00287100 0.00153300 0.00133400	9.56385718435661	92.561872909699	2020-01-21	ClusterA
SRR18036402.fastq	[('Other', 0.9999999999182286)]	B.1.1.367 B.1.1 B.1.14 B B.1.1.310 B.1.1.119 B.1.1.177 B.1.1.208 B.1.1.141	0.47240650 0.47240650 0.01923100 0.01923100 0.00469500 0.00373800 0.00331700 0.00261400 0.00236100	9.7610419308048	92.561872909699	2020-01-22	ClusterC
SRR18036403.fastq	[('Other', 0.9999999999872691)]	B.1.1.367 B.1.1 B.19 B.1.14 B B.1.1.161 B.1.1.33 B.1.1.119 B.1.198	0.48586200 0.48586200 0.00995800 0.00382550 0.00382550 0.00378300 0.00331700 0.00204800 0.00151900	6.54607233020424	92.561872909699	2020-01-23	ClusterC
SRR18036404.fastq	[('Omicron', 0.9695649999753623), ('Other', 0.03043499995533813)]	BA.1.1.2 BA.1.5 BA.1 B.1.1.161 B.55 BA.1.15 B.1.14 B B.1.1.119 B.1.1.237	0.55555600 0.23554500 0.17276300 0.01162500 0.00609800 0.00570100 0.00467300 0.00467300 0.00219600 0.00117000	9.76102819276831	92.561872909699	2020-01-24	ClusterA
SRR18036405.fastq	[('Omicron', 0.9653549999715508), ('Other', 0.03464499998706333)]	BA.1.1.2 BA.1.15 BA.1 BA.1.5 BA.1.20 B.1.1.161 B.4 B.1.195 miscDeltaBA1Post4k B.1.143	0.59374300 0.15628800 0.15027800 0.05078100 0.01426500 0.01333500 0.00729200 0.00537900 0.00434200 0.00429700	9.47998114792191	92.561872909699	2020-01-25	ClusterC
SRR18036406.fastq	[('Omicron', 0.8815299992689853), ('Other', 0.11847000068043682)]	BA.1.1.2 BA.1 BA.1.14 BA.1.15.3 BA.1.5 B.1 B.1.14 B B.1.76 B.1.439	0.65700500 0.09672700 0.07642800 0.05219600 0.05137000 0.02330800 0.01686200 0.01686200 0.00498500 0.00425700	10.116026234754	92.561872909699	2020-01-26	ClusterC
SRR18036407.fastq	[('Omicron', 0.9581399999841295), ('Other', 0.0418599999494705)]	BA.1.9 B.1.14 B B.1.1.161 BA.1.1.1 B.1.195 B.1.439 B.1.1.378 B.1.198 B.1.1.119	0.95084600 0.01094900 0.01094900 0.00779100 0.00729400 0.00391200 0.00291000 0.00223200 0.00179600 0.00132100	10.0373688667665	92.561872909699	2020-01-27	ClusterB
