,"Amplicon 73
[21889-22247]

AY.4.2

21995C,22227T","Amplicon 72
[21561-21904]

BA.1

21762T,Δ21765-21770,21846T","Amplicon 73
[21889-22247]

BA.1

Δ21987-21995,Δ22194-22196","Amplicon 75
[22428-22785]

BA.1

22578A,22673→CTC,22679C,22686T","Amplicon 76
[22677-23028]

BA.1

22679C,22686T,22813T,22882G,22898A,22992A,22995A,23013C","Amplicon 77
[22974-23327]

BA.1

22992A,22995A,23013C,23040G,23048A,23055G,23063T,23075C,23202A","Amplicon 80
[23876-24233]

BA.1

23948T,24130A","Amplicon 81
[24194-24545]

BA.1

24424T,24469A,24503T","Amplicon 78
[23246-23611]

BA.1,BA.2

23403G,23525T,23599G,23604A","Amplicon 79
[23575-23927]

BA.1,BA.2

23599G,23604A,23854A","Amplicon 94
[28021-28394]

BA.1,BA.2

28311T,Δ28362-28370","Amplicon 95
[28214-28572]

BA.1,BA.2

28311T,Δ28362-28370","Amplicon 14
[4018-4387]

BA.2

4184A,4321T","Amplicon 31
[9192-9535]

BA.2

9344T,9424G,9534T","Amplicon 33
[9805-10150]

BA.2

9866T,10029T","Amplicon 34
[10099-10465]

BA.2

10198T,10447A,10449A","Amplicon 35
[10419-10785]

BA.2

10447A,10449A","Amplicon 43
[12856-13218]

BA.2

12880T,13195C","Amplicon 66
[19836-20186]

BA.2

19955T,20055G","Amplicon 71
[21316-21675]

BA.2

21618T,Δ21633-21641","Amplicon 72
[21561-21904]

BA.2

21618T,Δ21633-21641","Amplicon 73
[21889-22247]

BA.2

Δ21987-21995,22200G","Amplicon 75
[22428-22785]

BA.2

22578A,22674T,22679C,22686T,22688G,22775A","Amplicon 76
[22677-23028]

BA.2

22679C,22686T,22688G,22775A,22786T,22813T,22882G,22992A,22995A,23013C","Amplicon 77
[22974-23327]

BA.2

22992A,22995A,23013C,23040G,23055G,23063T,23075C","Amplicon 81
[24194-24545]

BA.2

24424T,24469A","Amplicon 87
[25979-26338]

BA.2

26060T,26270T","Amplicon 89
[26587-26956]

BA.2

26709A,26858T","Amplicon 91
[27177-27534]

BA.2

27259C,27382→CTC","Amplicon 77
[22974-23327]

B.1.1.7 (alpha)

23063T,23271A","Amplicon 78
[23246-23611]

B.1.1.7 (alpha)

23271A,23604A","Amplicon 79
[23575-23927]

B.1.1.7 (alpha)

23604A,23709T","Amplicon 93
[27726-28082]

B.1.1.7 (alpha)

27972T,28048T","Amplicon 94
[28021-28394]

B.1.1.7 (alpha)

28048T,28111G,28280→CTA","Amplicon 29
[8619-8990]

B.1.351 (beta)

8660T,8964T","Amplicon 72
[21561-21904]

B.1.351 (beta)

21614T,21801C","Amplicon 74
[22113-22474]

B.1.351 (beta)

22206G,22299T","Amplicon 76
[22677-23028]

B.1.351 (beta)

22813T,23012A","Amplicon 72
[21561-21904]

C.36.3

21597T,Δ21765-21770","Amplicon 78
[23246-23611]

B.1

23403G","Amplicon 76
[22677-23028]

AY.4.2,B.1.617.2 (delta)

22917G,22995A","Amplicon 92
[27473-27826]

AY.4.2,B.1.617.2 (delta)

27638C,27752T","Amplicon 77
[22974-23327]

B.1.351 (beta),P.1 (gamma)

23012A,23063T","Amplicon 71
[21316-21675]

P.1 (gamma)

21614T,21621A,21638T","Amplicon 72
[21561-21904]

P.1 (gamma)

21614T,21621A,21638T","Amplicon 73
[21889-22247]

P.1 (gamma)

21974T,22132T","Amplicon 76
[22677-23028]

P.1 (gamma)

22812C,23012A","Amplicon 96
[28536-28893]

P.1 (gamma)

28877T,28878C","Amplicon 97
[28849-29206]

P.1 (gamma)

28877T,28878C","Amplicon 76
[22677-23028]

B.1.617.3,B.1.617.1 (kappa)

22917G,23012C","Amplicon 93
[27726-28082]

B.1.621

27925A,28005T","Amplicon 82
[24448-24814]

BA.1,BA.1

24469A,24503T","Amplicon 88
[26277-26635]

BA.1,BA.1

26530G,26577G","Amplicon 76
[22677-23028]

BA.1

22679C,22898A","Amplicon 77
[22974-23327]

BA.1

23048A,23202A","Amplicon 81
[24194-24545]

BA.1

24469A,24503T","Amplicon 31
[9192-9535]

BA.2

9424G,9534T","Amplicon 34
[10099-10465]

BA.2

10198T,10447A","Amplicon 75
[22428-22785]

BA.2

22679C,22688G,22775A","Amplicon 76
[22677-23028]

BA.2

22679C,22688G,22775A,22786C"
SRR17578348.fastq.bam,"1 / 2036
0.05%","0 / 5423
0.00%","0 / 2037
0.00%","0 / 1321
0.00%","0 / 1933
0.00%","0 / 9
0.00%","0 / 2009
0.00%","0 / 2191
0.00%","6 / 12530
0.05%","3 / 3565
0.08%","0 / 208
0.00%","0 / 3021
0.00%","0 / 8347
0.00%","0 / 667
0.00%","4 / 3414
0.12%","0 / 15137
0.00%","0 / 11
0.00%","0 / 1
0.00%","0 / 11836
0.00%","0 / 0
NA","0 / 5218
0.00%","0 / 2037
0.00%","0 / 1320
0.00%","0 / 1
0.00%","0 / 1961
0.00%","0 / 2191
0.00%","0 / 296
0.00%","3 / 767
0.39%","0 / 335
0.00%","1 / 1985
0.05%","11 / 4089
0.27%","13 / 3560
0.37%","0 / 1
0.00%","0 / 1947
0.00%","1 / 350
0.29%","0 / 5427
0.00%","0 / 2356
0.00%","11 / 1731
0.64%","0 / 5424
0.00%","16588 / 16634
99.72%","1925 / 1933
99.59%","0 / 63
0.00%","0 / 1962
0.00%","0 / 0
NA","0 / 1
0.00%","0 / 804
0.00%","2 / 1731
0.12%","0 / 2
0.00%","0 / 1301
0.00%","3012 / 3678
81.89%","0 / 3078
0.00%","0 / 0
NA","0 / 6032
0.00%","3 / 3680
0.08%","0 / 9
0.00%","0 / 2191
0.00%","0 / 670
0.00%","12 / 15140
0.08%","0 / 1325
0.00%","0 / 1
0.00%"
SRR17578349.fastq.bam,"1 / 1113
0.09%","0 / 180
0.00%","0 / 1113
0.00%","0 / 714
0.00%","0 / 493
0.00%","0 / 1810
0.00%","0 / 5
0.00%","0 / 1
0.00%","3 / 3558
0.08%","0 / 1
0.00%","0 / 0
NA","0 / 3842
0.00%","0 / 589
0.00%","0 / 185
0.00%","2 / 2829
0.07%","0 / 21631
0.00%","0 / 0
NA","0 / 0
NA","0 / 2104
0.00%","0 / 0
NA","0 / 1
0.00%","0 / 1113
0.00%","0 / 714
0.00%","0 / 493
0.00%","0 / 1
0.00%","0 / 1
0.00%","0 / 382
0.00%","0 / 1
0.00%","0 / 92
0.00%","1 / 50
2.00%","4 / 1711
0.23%","0 / 0
NA","0 / 2572
0.00%","0 / 503
0.00%","0 / 30
0.00%","0 / 0
NA","0 / 2272
0.00%","2 / 522
0.38%","0 / 0
NA","5264 / 5272
99.85%","282 / 544
51.84%","0 / 201
0.00%","0 / 0
NA","0 / 0
NA","0 / 1
0.00%","0 / 429
0.00%","0 / 522
0.00%","0 / 1
0.00%","0 / 1787
0.00%","282 / 544
51.84%","0 / 2567
0.00%","0 / 0
NA","0 / 5007
0.00%","1 / 493
0.20%","0 / 1809
0.00%","0 / 1
0.00%","0 / 185
0.00%","11 / 21635
0.05%","0 / 715
0.00%","0 / 493
0.00%"
SRR17578350.fastq.bam,"2 / 3573
0.06%","3 / 720
0.42%","0 / 3574
0.00%","0 / 1
0.00%","0 / 2848
0.00%","0 / 2882
0.00%","0 / 3765
0.00%","0 / 13682
0.00%","0 / 0
NA","0 / 1
0.00%","0 / 21
0.00%","0 / 5419
0.00%","0 / 10696
0.00%","0 / 0
NA","11 / 10836
0.10%","0 / 33269
0.00%","0 / 1
0.00%","0 / 0
NA","4 / 923
0.43%","0 / 0
NA","0 / 9
0.00%","0 / 3574
0.00%","0 / 1
0.00%","0 / 1
0.00%","0 / 2882
0.00%","0 / 13682
0.00%","0 / 1397
0.00%","13 / 5023
0.26%","0 / 914
0.00%","1 / 2899
0.03%","0 / 0
NA","0 / 0
NA","0 / 2
0.00%","0 / 1758
0.00%","0 / 0
NA","1 / 6
16.67%","1 / 4
25.00%","16 / 4544
0.35%","0 / 6
0.00%","0 / 0
NA","2838 / 2848
99.65%","1 / 700
0.14%","0 / 2882
0.00%","0 / 0
NA","0 / 6
0.00%","0 / 1136
0.00%","3 / 4544
0.07%","0 / 0
NA","0 / 2131
0.00%","5577 / 7389
75.48%","0 / 1808
0.00%","0 / 0
NA","0 / 8180
0.00%","14 / 7388
0.19%","1 / 6419
0.02%","0 / 13682
0.00%","0 / 0
NA","33 / 33277
0.10%","0 / 0
NA","0 / 1
0.00%"
SRR17578351.fastq.bam,"5 / 6304
0.08%","0 / 9039
0.00%","0 / 6304
0.00%","0 / 4864
0.00%","0 / 1523
0.00%","0 / 6
0.00%","6 / 2942
0.20%","0 / 7142
0.00%","0 / 1
0.00%","0 / 3
0.00%","0 / 155
0.00%","0 / 0
NA","0 / 3299
0.00%","0 / 470
0.00%","3 / 5327
0.06%","0 / 8873
0.00%","0 / 0
NA","0 / 0
NA","0 / 3086
0.00%","0 / 0
NA","0 / 8808
0.00%","0 / 6304
0.00%","0 / 4864
0.00%","0 / 2
0.00%","0 / 1548
0.00%","0 / 7142
0.00%","0 / 193
0.00%","0 / 2642
0.00%","0 / 601
0.00%","0 / 1566
0.00%","5 / 4925
0.10%","0 / 1
0.00%","0 / 4
0.00%","0 / 548
0.00%","0 / 45
0.00%","0 / 9121
0.00%","0 / 3125
0.00%","0 / 380
0.00%","0 / 9042
0.00%","11071 / 11090
99.83%","1517 / 1523
99.61%","0 / 52
0.00%","0 / 1549
0.00%","0 / 0
NA","0 / 1
0.00%","0 / 2471
0.00%","1 / 380
0.26%","0 / 3
0.00%","0 / 2232
0.00%","3330 / 4490
74.16%","0 / 3008
0.00%","0 / 0
NA","0 / 2951
0.00%","0 / 1852
0.00%","0 / 6
0.00%","0 / 7142
0.00%","0 / 472
0.00%","11 / 8878
0.12%","0 / 4872
0.00%","0 / 2
0.00%"
SRR17578352.fastq.bam,"0 / 4
0.00%","0 / 236
0.00%","0 / 4
0.00%","0 / 1136
0.00%","0 / 874
0.00%","0 / 233
0.00%","3 / 2606
0.12%","0 / 2
0.00%","0 / 4
0.00%","1 / 1700
0.06%","0 / 42
0.00%","0 / 3603
0.00%","1 / 10674
0.01%","0 / 697
0.00%","0 / 2373
0.00%","0 / 27364
0.00%","0 / 6
0.00%","0 / 0
NA","0 / 16253
0.00%","0 / 0
NA","0 / 1
0.00%","0 / 4
0.00%","0 / 1136
0.00%","0 / 1395
0.00%","0 / 1123
0.00%","0 / 2
0.00%","0 / 119
0.00%","1 / 1154
0.09%","0 / 155
0.00%","0 / 1127
0.00%","0 / 0
NA","0 / 1694
0.00%","2 / 909
0.22%","0 / 1056
0.00%","1 / 210
0.48%","0 / 65
0.00%","0 / 5
0.00%","0 / 545
0.00%","0 / 1
0.00%","0 / 0
NA","872 / 874
99.77%","0 / 125
0.00%","0 / 1125
0.00%","0 / 0
NA","0 / 1
0.00%","0 / 5
0.00%","0 / 545
0.00%","0 / 0
NA","0 / 699
0.00%","887 / 925
95.89%","0 / 904
0.00%","0 / 0
NA","0 / 1025
0.00%","0 / 889
0.00%","0 / 235
0.00%","0 / 2
0.00%","0 / 699
0.00%","32 / 27371
0.12%","0 / 1138
0.00%","0 / 521
0.00%"
SRR17578353.fastq.bam,"5 / 3442
0.15%","0 / 6304
0.00%","0 / 3442
0.00%","0 / 2272
0.00%","0 / 2063
0.00%","0 / 6
0.00%","0 / 2059
0.00%","0 / 5369
0.00%","12 / 13257
0.09%","3 / 4377
0.07%","0 / 82
0.00%","0 / 4194
0.00%","0 / 18265
0.00%","0 / 1181
0.00%","9 / 10411
0.09%","0 / 20528
0.00%","0 / 10
0.00%","0 / 2
0.00%","0 / 4786
0.00%","0 / 0
NA","0 / 6023
0.00%","0 / 3442
0.00%","0 / 2272
0.00%","0 / 1
0.00%","0 / 2095
0.00%","0 / 5370
0.00%","0 / 549
0.00%","0 / 1100
0.00%","0 / 358
0.00%","0 / 2130
0.00%","4 / 8409
0.05%","0 / 1
0.00%","0 / 3
0.00%","0 / 783
0.00%","0 / 350
0.00%","0 / 6357
0.00%","0 / 6784
0.00%","9 / 3117
0.29%","0 / 6307
0.00%","21754 / 21792
99.83%","2052 / 2064
99.42%","0 / 137
0.00%","0 / 2096
0.00%","0 / 0
NA","0 / 6045
0.00%","0 / 1326
0.00%","4 / 3117
0.13%","0 / 1
0.00%","0 / 1907
0.00%","3874 / 5134
75.46%","0 / 2269
0.00%","0 / 0
NA","0 / 4456
0.00%","7 / 5132
0.14%","0 / 6
0.00%","0 / 5369
0.00%","0 / 1181
0.00%","18 / 20536
0.09%","0 / 2285
0.00%","0 / 1
0.00%"
SRR17578354.fastq.bam,"1 / 2227
0.04%","0 / 5404
0.00%","0 / 2228
0.00%","0 / 3482
0.00%","0 / 1547
0.00%","0 / 56
0.00%","0 / 1918
0.00%","0 / 1422
0.00%","6 / 12166
0.05%","0 / 3143
0.00%","0 / 135
0.00%","0 / 5477
0.00%","0 / 8462
0.00%","0 / 517
0.00%","1 / 6766
0.01%","0 / 16622
0.00%","0 / 8
0.00%","0 / 2
0.00%","0 / 4016
0.00%","0 / 0
NA","0 / 5189
0.00%","0 / 2228
0.00%","0 / 3481
0.00%","0 / 6247
0.00%","0 / 1623
0.00%","0 / 1422
0.00%","0 / 377
0.00%","0 / 708
0.00%","0 / 426
0.00%","1 / 1652
0.06%","30 / 13693
0.22%","3 / 3127
0.10%","0 / 1
0.00%","0 / 2256
0.00%","0 / 239
0.00%","1 / 5435
0.02%","0 / 3504
0.00%","34 / 6291
0.54%","0 / 5405
0.00%","25961 / 25991
99.88%","1541 / 1547
99.61%","1 / 163
0.61%","0 / 1623
0.00%","0 / 0
NA","0 / 1
0.00%","0 / 857
0.00%","4 / 6291
0.06%","0 / 1
0.00%","0 / 984
0.00%","5516 / 7862
70.16%","0 / 3594
0.00%","0 / 0
NA","0 / 2719
0.00%","5 / 7845
0.06%","0 / 56
0.00%","0 / 1422
0.00%","0 / 519
0.00%","23 / 16627
0.14%","0 / 3491
0.00%","0 / 6278
0.00%"
SRR17578355.fastq.bam,"4 / 3551
0.11%","0 / 3801
0.00%","0 / 3551
0.00%","0 / 2032
0.00%","0 / 3108
0.00%","0 / 39
0.00%","0 / 2270
0.00%","0 / 4926
0.00%","7 / 17092
0.04%","0 / 1
0.00%","0 / 276
0.00%","0 / 6177
0.00%","0 / 3695
0.00%","0 / 469
0.00%","0 / 1072
0.00%","0 / 36905
0.00%","0 / 1
0.00%","0 / 1
0.00%","0 / 5199
0.00%","0 / 0
NA","0 / 3646
0.00%","0 / 3551
0.00%","0 / 2032
0.00%","0 / 4
0.00%","0 / 3178
0.00%","0 / 4927
0.00%","0 / 388
0.00%","1 / 941
0.11%","0 / 541
0.00%","0 / 3212
0.00%","18 / 11267
0.16%","0 / 1
0.00%","0 / 5
0.00%","0 / 2291
0.00%","0 / 146
0.00%","0 / 3819
0.00%","0 / 6719
0.00%","19 / 4861
0.39%","0 / 3803
0.00%","28432 / 28467
99.88%","3096 / 3109
99.58%","1 / 211
0.47%","0 / 3178
0.00%","0 / 0
NA","0 / 3
0.00%","0 / 1297
0.00%","3 / 4861
0.06%","0 / 2
0.00%","0 / 3229
0.00%","6103 / 8080
75.53%","0 / 3939
0.00%","0 / 0
NA","0 / 8710
0.00%","9 / 7954
0.11%","0 / 39
0.00%","0 / 4926
0.00%","0 / 469
0.00%","33 / 36912
0.09%","0 / 2051
0.00%","0 / 4
0.00%"
SRR17786781.fastq.bam,"1 / 912
0.11%","0 / 34
0.00%","907 / 912
99.45%","0 / 0
NA","470 / 478
98.33%","498 / 506
98.42%","0 / 377
0.00%","569 / 575
98.96%","1993 / 2012
99.06%","1 / 1
100.00%","7 / 7
100.00%","904 / 926
97.62%","0 / 1030
0.00%","0 / 116
0.00%","0 / 567
0.00%","0 / 2369
0.00%","0 / 3
0.00%","0 / 1
0.00%","0 / 1898
0.00%","0 / 0
NA","0 / 39
0.00%","907 / 912
99.45%","0 / 0
NA","0 / 728
0.00%","498 / 506
98.42%","572 / 575
99.48%","0 / 69
0.00%","87 / 239
36.40%","0 / 76
0.00%","506 / 512
98.83%","4 / 1194
0.34%","0 / 3
0.00%","0 / 92
0.00%","0 / 110
0.00%","0 / 70
0.00%","0 / 42
0.00%","0 / 3
0.00%","725 / 731
99.18%","41 / 42
97.62%","3206 / 3214
99.75%","1 / 478
0.21%","0 / 51
0.00%","0 / 507
0.00%","0 / 0
NA","0 / 1
0.00%","0 / 301
0.00%","0 / 731
0.00%","0 / 9
0.00%","6 / 1250
0.48%","4 / 1242
0.32%","0 / 91
0.00%","4 / 4
100.00%","0 / 195
0.00%","1233 / 1240
99.44%","511 / 512
99.80%","570 / 575
99.13%","0 / 116
0.00%","7 / 2369
0.30%","0 / 0
NA","0 / 730
0.00%"
SRR17786782.fastq.bam,"0 / 976
0.00%","0 / 58
0.00%","964 / 976
98.77%","0 / 1
0.00%","622 / 635
97.95%","641 / 661
96.97%","2 / 595
0.34%","639 / 653
97.86%","4 / 4
100.00%","2 / 27
7.41%","0 / 0
NA","1191 / 1233
96.59%","0 / 1621
0.00%","0 / 150
0.00%","3 / 730
0.41%","0 / 3236
0.00%","0 / 6
0.00%","0 / 0
NA","0 / 2727
0.00%","0 / 0
NA","0 / 58
0.00%","964 / 976
98.77%","0 / 1
0.00%","0 / 750
0.00%","641 / 661
96.97%","651 / 653
99.69%","1 / 92
1.09%","130 / 294
44.22%","0 / 117
0.00%","657 / 671
97.91%","9 / 1291
0.70%","0 / 1
0.00%","0 / 122
0.00%","0 / 130
0.00%","1 / 98
1.02%","0 / 60
0.00%","0 / 10
0.00%","749 / 753
99.47%","58 / 60
96.67%","3736 / 3749
99.65%","5 / 636
0.79%","0 / 53
0.00%","1 / 662
0.15%","0 / 0
NA","0 / 2
0.00%","0 / 310
0.00%","0 / 753
0.00%","0 / 0
NA","7 / 1575
0.44%","5 / 1415
0.35%","0 / 117
0.00%","0 / 0
NA","0 / 414
0.00%","1405 / 1415
99.29%","666 / 672
99.11%","641 / 653
98.16%","0 / 150
0.00%","3 / 3238
0.09%","0 / 1
0.00%","0 / 751
0.00%"
